"Health and social care > NHS hospital activity > NHS activity and capacity during the coronavirus (COVID-19) pandemic > NHS hospitalisations by date and local health board"
"NHS hospitalisations by date and local health board"

Filters:
Hospital type: All NHS hospitals
Indicator: All hospitalisations

"","Wales ","","","","","","","","Wales "
"","Betsi Cadwaladr University Local Health Board ","Powys Teaching Local Health Board (19)","Hywel Dda University Local Health Board ","Swansea Bay University Local Health Board ","Cwm Taf Morgannwg University Local Health Board ","Aneurin Bevan University Local Health Board (20)","Cardiff and Vale University Local Health Board (21)","Velindre University NHS Trust ","."
"1 Apr 2020 ",768,".",394,648,620,616,700,12,3758
"2 Apr 2020 ",705,".",393,689,639,577,763,11,3777
"3 Apr 2020 ",706,".",371,667,596,554,711,13,3618
"4 Apr 2020 ",724,".",173,723,522,548,662,12,3364
"5 Apr 2020 ",850,".",222,706,585,514,639,15,3531
"6 Apr 2020 ",839,".",311,591,559,547,681,12,3540
"7 Apr 2020 ",747,".",362,597,565,534,684,13,3502
"8 Apr 2020 ",698,".",368,549,571,565,709,14,3474
"9 Apr 2020 ",692,".",364,588,549,556,671,11,3431
"10 Apr 2020 ",682,".",388,638,517,540,665,8,3438
"11 Apr 2020 ",696,".",399,497,529,525,669,12,3327
"12 Apr 2020 ",726,".",373,391,525,537,662,8,3222
"13 Apr 2020 ",714,".",363,548,522,539,655,9,3350
"14 Apr 2020 ",718,".",337,586,567,554,682,6,3450
"15 Apr 2020 ",733,".",386,565,545,549,661,12,3451
"16 Apr 2020 ",682,".",371,398,552,552,652,17,3224
"17 Apr 2020 ",707,".",399,577,553,560,674,17,3487
"18 Apr 2020 ",772,".",403,570,513,539,669,13,3479
"19 Apr 2020 ",775,".",403,570,512,560,674,9,3503
"20 Apr 2020 (1)",800,".",405,590,556,591,708,11,3661
"21 Apr 2020 ",752,".",378,550,557,605,723,12,3577
"22 Apr 2020 ",749,".",383,560,529,600,720,13,3554
"23 Apr 2020 (2)",1109,61,449,507,724,723,811,13,4397
"24 Apr 2020 ",1135,63,438,513,744,739,807,15,4454
"25 Apr 2020 ",1141,65,429,549,714,707,993,11,4609
"26 Apr 2020 ",1162,65,423,566,739,747,973,11,4686
"27 Apr 2020 ",1170,69,479,529,736,735,988,9,4715
"28 Apr 2020 ",1161,69,469,489,740,740,1000,8,4676
"29 Apr 2020 ",1164,71,472,541,745,727,1019,11,4750
"30 Apr 2020 ",1156,70,484,607,735,698,1024,12,4786
"1 May 2020 ",1174,71,474,583,750,699,1005,12,4768
"2 May 2020 ",1182,74,474,544,782,704,964,12,4736
"3 May 2020 ",1163,81,496,518,757,703,956,13,4687
"4 May 2020 ",1266,80,562,582,780,774,997,14,5055
"5 May 2020 ",1236,78,555,604,794,742,1019,16,5044
"6 May 2020 ",1180,74,540,579,804,748,1009,18,4952
"7 May 2020 ",1268,75,560,578,822,747,1009,19,5078
"8 May 2020 ",1292,79,506,559,832,725,983,20,4996
"9 May 2020 ",1286,79,494,593,793,731,983,21,4980
"10 May 2020 ",1273,79,498,607,819,754,1005,18,5053
"11 May  2020 ",1288,81,584,640,819,795,1015,17,5239
"12 May 2020 ",1277,80,595,615,821,766,1013,17,5184
"13 May 2020 ",1139,82,585,598,828,749,1026,19,5026
"14 May 2020 ",1230,80,583,627,834,746,1026,13,5139
"15 May 2020 ",1226,82,605,589,807,715,1044,16,5084
"16 May 2020 ",1279,83,590,574,842,736,999,16,5119
"17 May 2020 ",1285,85,579,578,856,757,1014,14,5168
"18 May 2020 ",1301,85,591,587,859,805,1065,15,5308
"19 May 2020 ",1326,78,583,588,873,783,1064,15,5310
"20 May 2020 ",1265,81,577,595,868,771,1074,17,5248
"21 May 2020 ",1273,82,574,610,868,764,1055,18,5244
"22 May 2020 ",1283,78,538,573,860,765,1053,18,5168
"23 May 2020 ",1318,81,558,555,893,749,1020,19,5193
"24 May 2020 ",1302,82,562,578,886,765,1029,14,5218
"25 May 2020 ",1315,82,581,592,874,791,1057,16,5308
"26 May 2020 (3)",1323,81,648,615,967,818,1112,16,5580
"27 May 2020 ",1344,75,681,628,983,832,1112,15,5670
"28 May 2020 ",1370,77,668,632,984,799,1122,14,5666
"29 May 2020 ",1381,77,647,660,955,792,1132,15,5659
"30 May 2020 ",1335,78,620,679,949,766,1103,20,5550
"31 May 2020 ",1321,82,623,658,966,791,1103,13,5557
"1 Jun 2020 (4)",1345,82,656,689,977,847,1164,17,5777
"2 Jun 2020 ",1421,78,684,640,941,855,1193,21,5833
"3 Jun 2020 ",1449,76,714,661,884,861,1153,22,5820
"4 Jun 2020 (5)",1456,72,711,648,931,838,1152,26,5834
"5 Jun 2020 ",1414,76,709,645,888,853,1157,27,5769
"6 Jun 2020 ",1372,80,716,621,871,836,1141,21,5658
"7 Jun 2020 (6)",1346,79,733,626,893,854,1143,15,5689
"8 Jun 2020 ",1398,78,715,666,952,895,1166,14,5884
"9 Jun 2020 ",1409,80,709,686,955,894,1146,14,5893
"10 Jun 2020 ",1429,78,732,678,926,830,1133,16,5822
"11 Jun 2020 ",1436,81,713,684,925,845,1132,18,5834
"12 Jun 2020 ",1400,80,715,705,901,868,1130,18,5817
"13 Jun 2020 ",1389,85,731,674,897,856,1111,22,5765
"14 Jun 2020 ",1374,84,736,692,877,872,1101,22,5758
"15 Jun 2020 ",1401,83,735,703,980,912,1141,24,5979
"16 Jun 2020 ",1415,86,744,699,991,919,1153,21,6028
"17 Jun 2020 ",1455,90,707,705,988,947,1150,21,6063
"18 Jun 2020 ",1430,92,713,698,991,955,1165,18,6062
"19 Jun 2020 ",1448,94,718,703,984,962,1160,25,6094
"20 Jun 2020 ",1473,96,709,728,995,924,1133,25,6083
"21 Jun 2020 ",1444,94,725,731,998,941,1142,20,6095
"22 Jun 2020 ",1458,94,744,758,1025,971,1154,11,6215
"23 Jun 2020 ",1491,91,719,738,1017,991,1182,15,6244
"24 Jun 2020 ",1448,95,747,700,1003,972,1183,16,6164
"25 Jun 2020 ",1486,93,737,720,998,981,1173,14,6202
"26 Jun 2020 ",1478,95,723,724,1006,992,1152,16,6186
"27 Jun 2020 ",1477,101,724,682,1027,972,1122,21,6126
"28 Jun 2020 ",1522,102,746,709,1018,980,1133,21,6231
"29 Jun 2020 (7)",1506,103,747,723,1064,1006,1152,14,6315
"30 Jun 2020 ",1479,97,755,735,1024,1014,1172,16,6292
"1 Jul 2020 ",1530,97,735,718,981,1004,1154,12,6231
"2 Jul 2020 ",1531,100,716,739,961,1002,1147,15,6211
"3 Jul 2020 ",1480,101,723,700,965,1023,1161,13,6166
"4 Jul 2020 ",1434,101,728,671,903,981,1125,18,5961
"5 Jul 2020 ",1468,100,750,693,990,991,1137,16,6145
"6 Jul 2020 ",1523,99,781,738,1013,1043,1186,13,6396
"7 Jul 2020 ",1493,101,778,709,1019,1063,1172,10,6345
"8 Jul 2020 ",1524,98,756,746,1022,1059,1198,12,6415
"9 Jul 2020 ",1532,101,744,730,999,1036,1225,17,6384
"10 Jul 2020 (8)",1706,122,814,978,1176,1173,1206,17,7192
"11 Jul 2020 ",1695,127,804,979,1186,1125,1193,18,7127
"12 Jul 2020 ",1748,129,800,978,1207,1146,1196,17,7221
"13 Jul 2020 ",1770,131,833,956,1220,1192,1233,13,7348
"14 Jul 2020 ",1743,123,865,915,1211,1190,1238,18,7303
"15 Jul 2020 ",1760,128,822,915,1234,1194,1246,14,7313
"16 Jul 2020 ",1751,133,858,994,1218,1195,1246,17,7412
"17 Jul 2020 ",1694,134,868,985,1235,1206,1236,17,7375
"18 Jul 2020 ",1712,132,845,950,1241,1125,1184,19,7208
"19 Jul 2020 ",1710,133,859,992,1235,1169,1194,20,7312
